db_id,query,question,query_toks,query_toks_no_value,question_toks
car_1,SELECT T1.horsepower FROM CARS_DATA AS T1 ORDER BY T1.accelerate DESC LIMIT 1;,What is the horsepower of the car with the largest accelerate?,"['SELECT' 'T1.horsepower' 'FROM' 'CARS_DATA' 'AS' 'T1' 'ORDER' 'BY'
 'T1.accelerate' 'DESC' 'LIMIT' '1' ';']","['select' 't1' '.' 'horsepower' 'from' 'cars_data' 'as' 't1' 'order' 'by'
 't1' '.' 'accelerate' 'desc' 'limit' 'value']","['What' 'is' 'the' 'horsepower' 'of' 'the' 'car' 'with' 'the' 'largest'
 'accelerate' '?']"
car_1,SELECT T1.horsepower FROM CARS_DATA AS T1 ORDER BY T1.accelerate DESC LIMIT 1;,What is the horsepower of the car with the greatest accelerate?,"['SELECT' 'T1.horsepower' 'FROM' 'CARS_DATA' 'AS' 'T1' 'ORDER' 'BY'
 'T1.accelerate' 'DESC' 'LIMIT' '1' ';']","['select' 't1' '.' 'horsepower' 'from' 'cars_data' 'as' 't1' 'order' 'by'
 't1' '.' 'accelerate' 'desc' 'limit' 'value']","['What' 'is' 'the' 'horsepower' 'of' 'the' 'car' 'with' 'the' 'greatest'
 'accelerate' '?']"
car_1,SELECT T1.cylinders FROM CARS_DATA AS T1 JOIN CAR_NAMES AS T2 ON T1.Id  =  T2.MakeId WHERE T2.Model  =  'volvo' ORDER BY T1.accelerate ASC LIMIT 1;,"For model volvo, how many cylinders does the car with the least accelerate have?","['SELECT' 'T1.cylinders' 'FROM' 'CARS_DATA' 'AS' 'T1' 'JOIN' 'CAR_NAMES'
 'AS' 'T2' 'ON' 'T1.Id' '=' 'T2.MakeId' 'WHERE' 'T2.Model' '=' ""'volvo""
 ""'"" 'ORDER' 'BY' 'T1.accelerate' 'ASC' 'LIMIT' '1' ';']","['select' 't1' '.' 'cylinders' 'from' 'cars_data' 'as' 't1' 'join'
 'car_names' 'as' 't2' 'on' 't1' '.' 'id' '=' 't2' '.' 'makeid' 'where'
 't2' '.' 'model' '=' 'value' 'order' 'by' 't1' '.' 'accelerate' 'asc'
 'limit' 'value']","['For' 'model' 'volvo' ',' 'how' 'many' 'cylinders' 'does' 'the' 'car'
 'with' 'the' 'least' 'accelerate' 'have' '?']"
car_1,SELECT T1.cylinders FROM CARS_DATA AS T1 JOIN CAR_NAMES AS T2 ON T1.Id  =  T2.MakeId WHERE T2.Model  =  'volvo' ORDER BY T1.accelerate ASC LIMIT 1;,"For a volvo model, how many cylinders does the version with least accelerate have?","['SELECT' 'T1.cylinders' 'FROM' 'CARS_DATA' 'AS' 'T1' 'JOIN' 'CAR_NAMES'
 'AS' 'T2' 'ON' 'T1.Id' '=' 'T2.MakeId' 'WHERE' 'T2.Model' '=' ""'volvo""
 ""'"" 'ORDER' 'BY' 'T1.accelerate' 'ASC' 'LIMIT' '1' ';']","['select' 't1' '.' 'cylinders' 'from' 'cars_data' 'as' 't1' 'join'
 'car_names' 'as' 't2' 'on' 't1' '.' 'id' '=' 't2' '.' 'makeid' 'where'
 't2' '.' 'model' '=' 'value' 'order' 'by' 't1' '.' 'accelerate' 'asc'
 'limit' 'value']","['For' 'a' 'volvo' 'model' ',' 'how' 'many' 'cylinders' 'does' 'the'
 'version' 'with' 'least' 'accelerate' 'have' '?']"
car_1,SELECT COUNT(*) FROM CARS_DATA WHERE Accelerate  >  ( SELECT Accelerate FROM CARS_DATA ORDER BY Horsepower DESC LIMIT 1 );,How many cars have a larger accelerate than the car with the largest horsepower?,"['SELECT' 'COUNT' '(' '*' ')' 'FROM' 'CARS_DATA' 'WHERE' 'Accelerate' '>'
 '(' 'SELECT' 'Accelerate' 'FROM' 'CARS_DATA' 'ORDER' 'BY' 'Horsepower'
 'DESC' 'LIMIT' '1' ')' ';']","['select' 'count' '(' '*' ')' 'from' 'cars_data' 'where' 'accelerate' '>'
 '(' 'select' 'accelerate' 'from' 'cars_data' 'order' 'by' 'horsepower'
 'desc' 'limit' 'value' ')']","['How' 'many' 'cars' 'have' 'a' 'larger' 'accelerate' 'than' 'the' 'car'
 'with' 'the' 'largest' 'horsepower' '?']"
car_1,SELECT COUNT(*) FROM CARS_DATA WHERE Accelerate  >  ( SELECT Accelerate FROM CARS_DATA ORDER BY Horsepower DESC LIMIT 1 );,What is the number of cars with a greater accelerate than the one with the most horsepower?,"['SELECT' 'COUNT' '(' '*' ')' 'FROM' 'CARS_DATA' 'WHERE' 'Accelerate' '>'
 '(' 'SELECT' 'Accelerate' 'FROM' 'CARS_DATA' 'ORDER' 'BY' 'Horsepower'
 'DESC' 'LIMIT' '1' ')' ';']","['select' 'count' '(' '*' ')' 'from' 'cars_data' 'where' 'accelerate' '>'
 '(' 'select' 'accelerate' 'from' 'cars_data' 'order' 'by' 'horsepower'
 'desc' 'limit' 'value' ')']","['What' 'is' 'the' 'number' 'of' 'cars' 'with' 'a' 'greater' 'accelerate'
 'than' 'the' 'one' 'with' 'the' 'most' 'horsepower' '?']"
car_1,select count(*) from countries as t1 join car_makers as t2 on t1.countryid  =  t2.country group by t1.countryid having count(*)  >  2,How many countries has more than 2 car makers ?,"['select' 'count' '(' '*' ')' 'from' 'countries' 'as' 't1' 'join'
 'car_makers' 'as' 't2' 'on' 't1.countryid' '=' 't2.country' 'group' 'by'
 't1.countryid' 'having' 'count' '(' '*' ')' '>' '2']","['select' 'count' '(' '*' ')' 'from' 'countries' 'as' 't1' 'join'
 'car_makers' 'as' 't2' 'on' 't1' '.' 'countryid' '=' 't2' '.' 'country'
 'group' 'by' 't1' '.' 'countryid' 'having' 'count' '(' '*' ')' '>'
 'value']",['How' 'many' 'countries' 'has' 'more' 'than' '2' 'car' 'makers' '?']
car_1,select count(*) from countries as t1 join car_makers as t2 on t1.countryid  =  t2.country group by t1.countryid having count(*)  >  2,What is the number of countries with more than 2 car makers ?,"['select' 'count' '(' '*' ')' 'from' 'countries' 'as' 't1' 'join'
 'car_makers' 'as' 't2' 'on' 't1.countryid' '=' 't2.country' 'group' 'by'
 't1.countryid' 'having' 'count' '(' '*' ')' '>' '2']","['select' 'count' '(' '*' ')' 'from' 'countries' 'as' 't1' 'join'
 'car_makers' 'as' 't2' 'on' 't1' '.' 'countryid' '=' 't2' '.' 'country'
 'group' 'by' 't1' '.' 'countryid' 'having' 'count' '(' '*' ')' '>'
 'value']","['What' 'is' 'the' 'number' 'of' 'countries' 'with' 'more' 'than' '2'
 'car' 'makers' '?']"
car_1,SELECT COUNT(*) FROM CARS_DATA WHERE Cylinders  >  6;,How many cars has over 6 cylinders?,"['SELECT' 'COUNT' '(' '*' ')' 'FROM' 'CARS_DATA' 'WHERE' 'Cylinders' '>'
 '6' ';']","['select' 'count' '(' '*' ')' 'from' 'cars_data' 'where' 'cylinders' '>'
 'value']",['How' 'many' 'cars' 'has' 'over' '6' 'cylinders' '?']
car_1,SELECT COUNT(*) FROM CARS_DATA WHERE Cylinders  >  6;,What is the number of carsw ith over 6 cylinders?,"['SELECT' 'COUNT' '(' '*' ')' 'FROM' 'CARS_DATA' 'WHERE' 'Cylinders' '>'
 '6' ';']","['select' 'count' '(' '*' ')' 'from' 'cars_data' 'where' 'cylinders' '>'
 'value']",['What' 'is' 'the' 'number' 'of' 'carsw' 'ith' 'over' '6' 'cylinders' '?']
car_1,SELECT T1.Model FROM CAR_NAMES AS T1 JOIN CARS_DATA AS T2 ON T1.MakeId  =  T2.Id WHERE T2.Cylinders  =  4 ORDER BY T2.horsepower DESC LIMIT 1;,"For the cars with 4 cylinders, which model has the largest horsepower?","['SELECT' 'T1.Model' 'FROM' 'CAR_NAMES' 'AS' 'T1' 'JOIN' 'CARS_DATA' 'AS'
 'T2' 'ON' 'T1.MakeId' '=' 'T2.Id' 'WHERE' 'T2.Cylinders' '=' '4' 'ORDER'
 'BY' 'T2.horsepower' 'DESC' 'LIMIT' '1' ';']","['select' 't1' '.' 'model' 'from' 'car_names' 'as' 't1' 'join' 'cars_data'
 'as' 't2' 'on' 't1' '.' 'makeid' '=' 't2' '.' 'id' 'where' 't2' '.'
 'cylinders' '=' 'value' 'order' 'by' 't2' '.' 'horsepower' 'desc' 'limit'
 'value']","['For' 'the' 'cars' 'with' '4' 'cylinders' ',' 'which' 'model' 'has' 'the'
 'largest' 'horsepower' '?']"
car_1,SELECT T1.Model FROM CAR_NAMES AS T1 JOIN CARS_DATA AS T2 ON T1.MakeId  =  T2.Id WHERE T2.Cylinders  =  4 ORDER BY T2.horsepower DESC LIMIT 1;,"For all of the 4 cylinder cars, which model has the most horsepower?","['SELECT' 'T1.Model' 'FROM' 'CAR_NAMES' 'AS' 'T1' 'JOIN' 'CARS_DATA' 'AS'
 'T2' 'ON' 'T1.MakeId' '=' 'T2.Id' 'WHERE' 'T2.Cylinders' '=' '4' 'ORDER'
 'BY' 'T2.horsepower' 'DESC' 'LIMIT' '1' ';']","['select' 't1' '.' 'model' 'from' 'car_names' 'as' 't1' 'join' 'cars_data'
 'as' 't2' 'on' 't1' '.' 'makeid' '=' 't2' '.' 'id' 'where' 't2' '.'
 'cylinders' '=' 'value' 'order' 'by' 't2' '.' 'horsepower' 'desc' 'limit'
 'value']","['For' 'all' 'of' 'the' '4' 'cylinder' 'cars' ',' 'which' 'model' 'has'
 'the' 'most' 'horsepower' '?']"
car_1,"SELECT T2.MakeId ,  T2.Make FROM CARS_DATA AS T1 JOIN CAR_NAMES AS T2 ON T1.Id  =  T2.MakeId WHERE T1.Horsepower  >  (SELECT min(Horsepower) FROM CARS_DATA) AND T1.Cylinders  <=  3;","Among the cars with more than lowest horsepower, which ones do not have more than 3 cylinders? List the car makeid and make name.","['SELECT' 'T2.MakeId' ',' 'T2.Make' 'FROM' 'CARS_DATA' 'AS' 'T1' 'JOIN'
 'CAR_NAMES' 'AS' 'T2' 'ON' 'T1.Id' '=' 'T2.MakeId' 'WHERE'
 'T1.Horsepower' '>' '(' 'SELECT' 'min' '(' 'Horsepower' ')' 'FROM'
 'CARS_DATA' ')' 'AND' 'T1.Cylinders' '<' '=' '3' ';']","['select' 't2' '.' 'makeid' ',' 't2' '.' 'make' 'from' 'cars_data' 'as'
 't1' 'join' 'car_names' 'as' 't2' 'on' 't1' '.' 'id' '=' 't2' '.'
 'makeid' 'where' 't1' '.' 'horsepower' '>' '(' 'select' 'min' '('
 'horsepower' ')' 'from' 'cars_data' ')' 'and' 't1' '.' 'cylinders' '<'
 '=' 'value']","['Among' 'the' 'cars' 'with' 'more' 'than' 'lowest' 'horsepower' ','
 'which' 'ones' 'do' 'not' 'have' 'more' 'than' '3' 'cylinders' '?' 'List'
 'the' 'car' 'makeid' 'and' 'make' 'name' '.']"
car_1,"select t2.makeid ,  t2.make from cars_data as t1 join car_names as t2 on t1.id  =  t2.makeid where t1.horsepower  >  (select min(horsepower) from cars_data) and t1.cylinders  <  4;","Among the cars that do not have the minimum horsepower , what are the make ids and names of all those with less than 4 cylinders ?","['select' 't2.makeid' ',' 't2.make' 'from' 'cars_data' 'as' 't1' 'join'
 'car_names' 'as' 't2' 'on' 't1.id' '=' 't2.makeid' 'where'
 't1.horsepower' '>' '(' 'select' 'min' '(' 'horsepower' ')' 'from'
 'cars_data' ')' 'and' 't1.cylinders' '<' '4' ';']","['select' 't2' '.' 'makeid' ',' 't2' '.' 'make' 'from' 'cars_data' 'as'
 't1' 'join' 'car_names' 'as' 't2' 'on' 't1' '.' 'id' '=' 't2' '.'
 'makeid' 'where' 't1' '.' 'horsepower' '>' '(' 'select' 'min' '('
 'horsepower' ')' 'from' 'cars_data' ')' 'and' 't1' '.' 'cylinders' '<'
 'value']","['Among' 'the' 'cars' 'that' 'do' 'not' 'have' 'the' 'minimum'
 'horsepower' ',' 'what' 'are' 'the' 'make' 'ids' 'and' 'names' 'of' 'all'
 'those' 'with' 'less' 'than' '4' 'cylinders' '?']"
car_1,select max(mpg) from cars_data where cylinders  =  8 or year  <  1980,What is the maximum miles per gallon of the car with 8 cylinders or produced before 1980 ?,"['select' 'max' '(' 'mpg' ')' 'from' 'cars_data' 'where' 'cylinders' '='
 '8' 'or' 'year' '<' '1980']","['select' 'max' '(' 'mpg' ')' 'from' 'cars_data' 'where' 'cylinders' '='
 'value' 'or' 'year' '<' 'value']","['What' 'is' 'the' 'maximum' 'miles' 'per' 'gallon' 'of' 'the' 'car'
 'with' '8' 'cylinders' 'or' 'produced' 'before' '1980' '?']"
car_1,select max(mpg) from cars_data where cylinders  =  8 or year  <  1980,What is the maximum mpg of the cars that had 8 cylinders or that were produced before 1980 ?,"['select' 'max' '(' 'mpg' ')' 'from' 'cars_data' 'where' 'cylinders' '='
 '8' 'or' 'year' '<' '1980']","['select' 'max' '(' 'mpg' ')' 'from' 'cars_data' 'where' 'cylinders' '='
 'value' 'or' 'year' '<' 'value']","['What' 'is' 'the' 'maximum' 'mpg' 'of' 'the' 'cars' 'that' 'had' '8'
 'cylinders' 'or' 'that' 'were' 'produced' 'before' '1980' '?']"
car_1,SELECT DISTINCT T1.model FROM MODEL_LIST AS T1 JOIN CAR_NAMES AS T2 ON T1.Model  =  T2.Model JOIN CARS_DATA AS T3 ON T2.MakeId  =  T3.Id JOIN CAR_MAKERS AS T4 ON T1.Maker  =  T4.Id WHERE T3.weight  <  3500 AND T4.FullName != 'Ford Motor Company';,Which models are lighter than 3500 but not built by the 'Ford Motor Company'?,"['SELECT' 'DISTINCT' 'T1.model' 'FROM' 'MODEL_LIST' 'AS' 'T1' 'JOIN'
 'CAR_NAMES' 'AS' 'T2' 'ON' 'T1.Model' '=' 'T2.Model' 'JOIN' 'CARS_DATA'
 'AS' 'T3' 'ON' 'T2.MakeId' '=' 'T3.Id' 'JOIN' 'CAR_MAKERS' 'AS' 'T4' 'ON'
 'T1.Maker' '=' 'T4.Id' 'WHERE' 'T3.weight' '<' '3500' 'AND' 'T4.FullName'
 '!' '=' ""'Ford"" 'Motor' 'Company' ""'"" ';']","['select' 'distinct' 't1' '.' 'model' 'from' 'model_list' 'as' 't1' 'join'
 'car_names' 'as' 't2' 'on' 't1' '.' 'model' '=' 't2' '.' 'model' 'join'
 'cars_data' 'as' 't3' 'on' 't2' '.' 'makeid' '=' 't3' '.' 'id' 'join'
 'car_makers' 'as' 't4' 'on' 't1' '.' 'maker' '=' 't4' '.' 'id' 'where'
 't3' '.' 'weight' '<' 'value' 'and' 't4' '.' 'fullname' '!' '=' 'value']","['Which' 'models' 'are' 'lighter' 'than' '3500' 'but' 'not' 'built' 'by'
 'the' ""'Ford"" 'Motor' 'Company' ""'"" '?']"
car_1,SELECT DISTINCT T1.model FROM MODEL_LIST AS T1 JOIN CAR_NAMES AS T2 ON T1.Model  =  T2.Model JOIN CARS_DATA AS T3 ON T2.MakeId  =  T3.Id JOIN CAR_MAKERS AS T4 ON T1.Maker  =  T4.Id WHERE T3.weight  <  3500 AND T4.FullName != 'Ford Motor Company';,What are the different models wthat are lighter than 3500 but were not built by the Ford Motor Company?,"['SELECT' 'DISTINCT' 'T1.model' 'FROM' 'MODEL_LIST' 'AS' 'T1' 'JOIN'
 'CAR_NAMES' 'AS' 'T2' 'ON' 'T1.Model' '=' 'T2.Model' 'JOIN' 'CARS_DATA'
 'AS' 'T3' 'ON' 'T2.MakeId' '=' 'T3.Id' 'JOIN' 'CAR_MAKERS' 'AS' 'T4' 'ON'
 'T1.Maker' '=' 'T4.Id' 'WHERE' 'T3.weight' '<' '3500' 'AND' 'T4.FullName'
 '!' '=' ""'Ford"" 'Motor' 'Company' ""'"" ';']","['select' 'distinct' 't1' '.' 'model' 'from' 'model_list' 'as' 't1' 'join'
 'car_names' 'as' 't2' 'on' 't1' '.' 'model' '=' 't2' '.' 'model' 'join'
 'cars_data' 'as' 't3' 'on' 't2' '.' 'makeid' '=' 't3' '.' 'id' 'join'
 'car_makers' 'as' 't4' 'on' 't1' '.' 'maker' '=' 't4' '.' 'id' 'where'
 't3' '.' 'weight' '<' 'value' 'and' 't4' '.' 'fullname' '!' '=' 'value']","['What' 'are' 'the' 'different' 'models' 'wthat' 'are' 'lighter' 'than'
 '3500' 'but' 'were' 'not' 'built' 'by' 'the' 'Ford' 'Motor' 'Company' '?']"
car_1,SELECT CountryName FROM countries EXCEPT SELECT T1.CountryName FROM countries AS T1 JOIN CAR_MAKERS AS T2 ON T1.countryId  =  T2.Country;,What are the name of the countries where there is not a single car maker?,"['SELECT' 'CountryName' 'FROM' 'countries' 'EXCEPT' 'SELECT'
 'T1.CountryName' 'FROM' 'countries' 'AS' 'T1' 'JOIN' 'CAR_MAKERS' 'AS'
 'T2' 'ON' 'T1.countryId' '=' 'T2.Country' ';']","['select' 'countryname' 'from' 'countries' 'except' 'select' 't1' '.'
 'countryname' 'from' 'countries' 'as' 't1' 'join' 'car_makers' 'as' 't2'
 'on' 't1' '.' 'countryid' '=' 't2' '.' 'country']","['What' 'are' 'the' 'name' 'of' 'the' 'countries' 'where' 'there' 'is'
 'not' 'a' 'single' 'car' 'maker' '?']"
car_1,SELECT CountryName FROM countries EXCEPT SELECT T1.CountryName FROM countries AS T1 JOIN CAR_MAKERS AS T2 ON T1.countryId  =  T2.Country;,What are the names of the countries with no car makers?,"['SELECT' 'CountryName' 'FROM' 'countries' 'EXCEPT' 'SELECT'
 'T1.CountryName' 'FROM' 'countries' 'AS' 'T1' 'JOIN' 'CAR_MAKERS' 'AS'
 'T2' 'ON' 'T1.countryId' '=' 'T2.Country' ';']","['select' 'countryname' 'from' 'countries' 'except' 'select' 't1' '.'
 'countryname' 'from' 'countries' 'as' 't1' 'join' 'car_makers' 'as' 't2'
 'on' 't1' '.' 'countryid' '=' 't2' '.' 'country']","['What' 'are' 'the' 'names' 'of' 'the' 'countries' 'with' 'no' 'car'
 'makers' '?']"
car_1,"select t1.id ,  t1.maker from car_makers as t1 join model_list as t2 on t1.id  =  t2.maker group by t1.id having count(*)  >=  2 intersect select t1.id ,  t1.maker from car_makers as t1 join model_list as t2 on t1.id  =  t2.maker join car_names as t3 on t2.model  =  t3.model group by t1.id having count(*)  >  3;",Which are the car makers which produce at least 2 models and more than 3 car makers ? List the id and the maker .,"['select' 't1.id' ',' 't1.maker' 'from' 'car_makers' 'as' 't1' 'join'
 'model_list' 'as' 't2' 'on' 't1.id' '=' 't2.maker' 'group' 'by' 't1.id'
 'having' 'count' '(' '*' ')' '>=' '2' 'intersect' 'select' 't1.id' ','
 't1.maker' 'from' 'car_makers' 'as' 't1' 'join' 'model_list' 'as' 't2'
 'on' 't1.id' '=' 't2.maker' 'join' 'car_names' 'as' 't3' 'on' 't2.model'
 '=' 't3.model' 'group' 'by' 't1.id' 'having' 'count' '(' '*' ')' '>' '3'
 ';']","['select' 't1' '.' 'id' ',' 't1' '.' 'maker' 'from' 'car_makers' 'as' 't1'
 'join' 'model_list' 'as' 't2' 'on' 't1' '.' 'id' '=' 't2' '.' 'maker'
 'group' 'by' 't1' '.' 'id' 'having' 'count' '(' '*' ')' '>' '=' 'value'
 'intersect' 'select' 't1' '.' 'id' ',' 't1' '.' 'maker' 'from'
 'car_makers' 'as' 't1' 'join' 'model_list' 'as' 't2' 'on' 't1' '.' 'id'
 '=' 't2' '.' 'maker' 'join' 'car_names' 'as' 't3' 'on' 't2' '.' 'model'
 '=' 't3' '.' 'model' 'group' 'by' 't1' '.' 'id' 'having' 'count' '(' '*'
 ')' '>' 'value']","['Which' 'are' 'the' 'car' 'makers' 'which' 'produce' 'at' 'least' '2'
 'models' 'and' 'more' 'than' '3' 'car' 'makers' '?' 'List' 'the' 'id'
 'and' 'the' 'maker' '.']"
car_1,"SELECT T1.Id ,  T1.Maker FROM CAR_MAKERS AS T1 JOIN MODEL_LIST AS T2 ON T1.Id  =  T2.Maker GROUP BY T1.Id HAVING count(*)  >=  2 INTERSECT SELECT T1.Id ,  T1.Maker FROM CAR_MAKERS AS T1 JOIN MODEL_LIST AS T2 ON T1.Id  =  T2.Maker JOIN CAR_NAMES AS T3 ON T2.model  =  T3.model GROUP BY T1.Id HAVING count(*)  >  3;",What are the ids and makers of all car makers that produce at least 2 models and make more than 3 cars?,"['SELECT' 'T1.Id' ',' 'T1.Maker' 'FROM' 'CAR_MAKERS' 'AS' 'T1' 'JOIN'
 'MODEL_LIST' 'AS' 'T2' 'ON' 'T1.Id' '=' 'T2.Maker' 'GROUP' 'BY' 'T1.Id'
 'HAVING' 'count' '(' '*' ')' '>' '=' '2' 'INTERSECT' 'SELECT' 'T1.Id' ','
 'T1.Maker' 'FROM' 'CAR_MAKERS' 'AS' 'T1' 'JOIN' 'MODEL_LIST' 'AS' 'T2'
 'ON' 'T1.Id' '=' 'T2.Maker' 'JOIN' 'CAR_NAMES' 'AS' 'T3' 'ON' 'T2.model'
 '=' 'T3.model' 'GROUP' 'BY' 'T1.Id' 'HAVING' 'count' '(' '*' ')' '>' '3'
 ';']","['select' 't1' '.' 'id' ',' 't1' '.' 'maker' 'from' 'car_makers' 'as' 't1'
 'join' 'model_list' 'as' 't2' 'on' 't1' '.' 'id' '=' 't2' '.' 'maker'
 'group' 'by' 't1' '.' 'id' 'having' 'count' '(' '*' ')' '>' '=' 'value'
 'intersect' 'select' 't1' '.' 'id' ',' 't1' '.' 'maker' 'from'
 'car_makers' 'as' 't1' 'join' 'model_list' 'as' 't2' 'on' 't1' '.' 'id'
 '=' 't2' '.' 'maker' 'join' 'car_names' 'as' 't3' 'on' 't2' '.' 'model'
 '=' 't3' '.' 'model' 'group' 'by' 't1' '.' 'id' 'having' 'count' '(' '*'
 ')' '>' 'value']","['What' 'are' 'the' 'ids' 'and' 'makers' 'of' 'all' 'car' 'makers' 'that'
 'produce' 'at' 'least' '2' 'models' 'and' 'make' 'more' 'than' '3' 'cars'
 '?']"
car_1,"SELECT T1.countryId ,  T1.CountryName FROM Countries AS T1 JOIN CAR_MAKERS AS T2 ON T1.CountryId  =  T2.Country GROUP BY T1.countryId HAVING count(*)  >  3 UNION SELECT T1.countryId ,  T1.CountryName FROM Countries AS T1 JOIN CAR_MAKERS AS T2 ON T1.CountryId  =  T2.Country JOIN MODEL_LIST AS T3 ON T2.Id  =  T3.Maker WHERE T3.Model  =  'fiat';",What are the id and names of the countries which have more than 3 car makers or produce the 'fiat' model?,"['SELECT' 'T1.countryId' ',' 'T1.CountryName' 'FROM' 'Countries' 'AS' 'T1'
 'JOIN' 'CAR_MAKERS' 'AS' 'T2' 'ON' 'T1.CountryId' '=' 'T2.Country'
 'GROUP' 'BY' 'T1.countryId' 'HAVING' 'count' '(' '*' ')' '>' '3' 'UNION'
 'SELECT' 'T1.countryId' ',' 'T1.CountryName' 'FROM' 'Countries' 'AS' 'T1'
 'JOIN' 'CAR_MAKERS' 'AS' 'T2' 'ON' 'T1.CountryId' '=' 'T2.Country' 'JOIN'
 'MODEL_LIST' 'AS' 'T3' 'ON' 'T2.Id' '=' 'T3.Maker' 'WHERE' 'T3.Model' '='
 ""'fiat"" ""'"" ';']","['select' 't1' '.' 'countryid' ',' 't1' '.' 'countryname' 'from'
 'countries' 'as' 't1' 'join' 'car_makers' 'as' 't2' 'on' 't1' '.'
 'countryid' '=' 't2' '.' 'country' 'group' 'by' 't1' '.' 'countryid'
 'having' 'count' '(' '*' ')' '>' 'value' 'union' 'select' 't1' '.'
 'countryid' ',' 't1' '.' 'countryname' 'from' 'countries' 'as' 't1'
 'join' 'car_makers' 'as' 't2' 'on' 't1' '.' 'countryid' '=' 't2' '.'
 'country' 'join' 'model_list' 'as' 't3' 'on' 't2' '.' 'id' '=' 't3' '.'
 'maker' 'where' 't3' '.' 'model' '=' 'value']","['What' 'are' 'the' 'id' 'and' 'names' 'of' 'the' 'countries' 'which'
 'have' 'more' 'than' '3' 'car' 'makers' 'or' 'produce' 'the' ""'fiat"" ""'""
 'model' '?']"
car_1,"select t1.countryid ,  t1.countryname from countries as t1 join car_makers as t2 on t1.countryid  =  t2.country group by t1.countryid having count(*)  >  3 union select t1.countryid ,  t1.countryname from countries as t1 join car_makers as t2 on t1.countryid  =  t2.country join model_list as t3 on t2.id  =  t3.maker where t3.model  =  'fiat';",What are the ids and names of all countries that either have more than 3 car makers or produce fiat model ?,"['select' 't1.countryid' ',' 't1.countryname' 'from' 'countries' 'as' 't1'
 'join' 'car_makers' 'as' 't2' 'on' 't1.countryid' '=' 't2.country'
 'group' 'by' 't1.countryid' 'having' 'count' '(' '*' ')' '>' '3' 'union'
 'select' 't1.countryid' ',' 't1.countryname' 'from' 'countries' 'as' 't1'
 'join' 'car_makers' 'as' 't2' 'on' 't1.countryid' '=' 't2.country' 'join'
 'model_list' 'as' 't3' 'on' 't2.id' '=' 't3.maker' 'where' 't3.model' '='
 '""fiat""' ';']","['select' 't1' '.' 'countryid' ',' 't1' '.' 'countryname' 'from'
 'countries' 'as' 't1' 'join' 'car_makers' 'as' 't2' 'on' 't1' '.'
 'countryid' '=' 't2' '.' 'country' 'group' 'by' 't1' '.' 'countryid'
 'having' 'count' '(' '*' ')' '>' 'value' 'union' 'select' 't1' '.'
 'countryid' ',' 't1' '.' 'countryname' 'from' 'countries' 'as' 't1'
 'join' 'car_makers' 'as' 't2' 'on' 't1' '.' 'countryid' '=' 't2' '.'
 'country' 'join' 'model_list' 'as' 't3' 'on' 't2' '.' 'id' '=' 't3' '.'
 'maker' 'where' 't3' '.' 'model' '=' 'value']","['What' 'are' 'the' 'ids' 'and' 'names' 'of' 'all' 'countries' 'that'
 'either' 'have' 'more' 'than' '3' 'car' 'makers' 'or' 'produce' 'fiat'
 'model' '?']"
flight_2,"SELECT Country FROM AIRLINES WHERE Airline  =  ""JetBlue Airways""","Which country does Airline ""JetBlue Airways"" belong to?","['SELECT' 'Country' 'FROM' 'AIRLINES' 'WHERE' 'Airline' '=' '``' 'JetBlue'
 'Airways' ""''""]",['select' 'country' 'from' 'airlines' 'where' 'airline' '=' 'value'],"['Which' 'country' 'does' 'Airline' '``' 'JetBlue' 'Airways' ""''"" 'belong'
 'to' '?']"
flight_2,"SELECT Country FROM AIRLINES WHERE Airline  =  ""JetBlue Airways""",What country is Jetblue Airways affiliated with?,"['SELECT' 'Country' 'FROM' 'AIRLINES' 'WHERE' 'Airline' '=' '``' 'JetBlue'
 'Airways' ""''""]",['select' 'country' 'from' 'airlines' 'where' 'airline' '=' 'value'],['What' 'country' 'is' 'Jetblue' 'Airways' 'affiliated' 'with' '?']
flight_2,"SELECT Abbreviation FROM AIRLINES WHERE Airline  =  ""JetBlue Airways""","What is the abbreviation of Airline ""JetBlue Airways""?","['SELECT' 'Abbreviation' 'FROM' 'AIRLINES' 'WHERE' 'Airline' '=' '``'
 'JetBlue' 'Airways' ""''""]",['select' 'abbreviation' 'from' 'airlines' 'where' 'airline' '=' 'value'],"['What' 'is' 'the' 'abbreviation' 'of' 'Airline' '``' 'JetBlue' 'Airways'
 ""''"" '?']"
flight_2,"SELECT Abbreviation FROM AIRLINES WHERE Airline  =  ""JetBlue Airways""",Which abbreviation corresponds to Jetblue Airways?,"['SELECT' 'Abbreviation' 'FROM' 'AIRLINES' 'WHERE' 'Airline' '=' '``'
 'JetBlue' 'Airways' ""''""]",['select' 'abbreviation' 'from' 'airlines' 'where' 'airline' '=' 'value'],['Which' 'abbreviation' 'corresponds' 'to' 'Jetblue' 'Airways' '?']
flight_2,"SELECT Airline ,  Abbreviation FROM AIRLINES WHERE Country  =  ""USA""","List all airline names and their abbreviations in ""USA"".","['SELECT' 'Airline' ',' 'Abbreviation' 'FROM' 'AIRLINES' 'WHERE' 'Country'
 '=' '``' 'USA' ""''""]","['select' 'airline' ',' 'abbreviation' 'from' 'airlines' 'where' 'country'
 '=' 'value']","['List' 'all' 'airline' 'names' 'and' 'their' 'abbreviations' 'in' '``'
 'USA' ""''"" '.']"
